location,latitude,longitude
VADARPALYA,13.24003,77.34794
KUDLU,12.889804,77.639063
SHIVANAGAR,17.971985,79.610053
V.V PURAM,12.954106,77.574152
SECTOR 3 HSR LAYOUT,12.9131394,77.6374645
BANASHANKARI STAGE VI,12.9275421,77.5618188
HMT LAYOUT,12.922005,77.648683
BASAVANAGARA,12.9010645,77.4676251
COX TOWN,12.9954832,77.6208684
KALASIPALYA,12.958189,77.5768148
KATHRIGUPPE,12.92989,77.55225
HBR LAYOUT,13.0358698,77.6323597
4 BEDROOM FARM HOUSE IN BAGALUR,12.508123,74.985557
YELAHANKA NEW TOWN,13.1001155,77.5803286
SAHAKARA NAGAR,13.0621474,77.58006135480495
MANYATA PARK,13.041313,77.621662
RACHENAHALLI,13.061941,77.613659
BELATHUR,12.35336,76.04864
SADASHIVA NAGAR,13.009443,77.57494
YELACHENAHALLI,12.897971,77.5700846
SHIRDI SAI LAYOUT,12.9135912,77.6067733
KODBISANHALLI,12.94338,77.6936
SATHYA SAI LAYOUT,12.97346105,77.75111514194242
INDIRANAGAR HAL 2ND STAGE,12.976065,77.638156
VISHWANATHA NAGENAHALLI,13.0395504,77.6048537
SINGAPURA VILLAGE,13.0782386,77.5377059
BENDIGANAHALLI,13.216386,77.831538
HOSAKEREHALLI LAYOUT,12.930635,77.543454
HENNAGARA,12.793909,77.679208
FERRAR NAGAR,13.1147587,77.5741161
GREEN GLEN LAYOUT,12.9269039,77.6701877
BAGUR,12.96557,77.60625
THUBARAHALLI,12.9557831,77.7214262
M.G ROAD,12.9738683,77.6129636
NAGANATHAPURA,12.8717726,77.6714141
HORAMAVU BANASWADI,13.0133409,77.6618516
1ST PHASE JP NAGAR,12.9165004,77.5922463
KAVERAPPA LAYOUT,12.9367661,77.7008465
NGR LAYOUT,13.011885,77.544139
DIVYA UNNATHI LAYOUT,,
VASANTHA VALLABHA NAGAR,10.792337,78.665438
SAPTHAGIRI LAYOUT,13.121367,77.617482
SEEGEHALLI,13.016432,77.716989
BEML LAYOUT,12.906898,77.521518
ALUR,13.08545,77.46489
DEVARABISANAHALLI,12.9236532,77.6914948
NRI LAYOUT,12.922005,77.648683
SIDEDAHALLI,13.0625424,77.4953754
DWARKA NAGAR,13.0880852,77.4949031
ITPL,12.9859966,77.7327435
THURAHALLI,,
HALLEHALLI,,
KATTIGENAHALLI,13.1218944,77.6257197
MARATHI LAYOUT,13.011885,77.544139
WEAVERS COLONY,13.09422,77.405495
RAGHAVENDRA NAGAR,13.0274963,77.5477083
KR LAYOUT,13.0119037,77.698767
BABUSAPALAYA,,
NAGAPPA REDDY LAYOUT,17.692909,82.957851
KEMPAPURA,13.0460671,77.6036869
BTM 1ST STAGE,12.9190004,77.6112906
KARIYAMMANA AGRAHARA,12.9380248,77.6880886
HESSARGHATTA,13.04842585,77.50762318993515
BINNAMANGALA,12.9839881,77.6416769
SURAKSHA NAGAR,12.887209,77.680655
LAKSHMI LAYOUT,12.9803328,77.525118
IBLUR VILLAGE,12.922544,77.6633431
KADUGONDANAHALLI,13.021104,77.619038
BASAVA NAGAR,12.9854607,77.58874456879997
2ND BLOCK HRBR LAYOUT,13.0251863,77.6340078
ANANTH NAGAR,12.887209,77.680655
CANARA BANK LAYOUT,13.068572,77.5783554
NARASAPURA,13.134256,77.999089
MANJUNATH NAGAR,12.9939514,77.5480532
BASAPURA,12.8657376,77.645392
CHANNASANDRA,13.037348,77.692889
SINGENA AGRAHARA,12.836435,77.716839
SECTOR 1 HSR LAYOUT,12.91607945,77.65244847531034
MANGO GARDEN LAYOUT,23.587345,88.231883
KACHARAKANAHALLI,13.0162995,77.631138
BIDERE AGARAHARA,13.036424,77.755276
GRIHALAKSHMI LAYOUT,12.922005,77.648683
GOPALKRISHNA NAGAR,12.887209,77.680655
CHOODASANDRA,12.8921555,77.680378
SAI GARDENS,12.96557,77.60625
DODDA KEMPAIAH LAYOUT,,
HANUMANTH NAGAR,12.9706693,77.6566804
KAIKONDRAHALLI,12.913594,77.673313
HUNASAMARANAHALLI,13.144617,77.617318
RWF WEST COLONY,13.1014783,77.58047951981871
BILESHIVALE,13.0543306,77.6710224
NEELADRI NAGAR,12.839953,77.630803
FRAZER TOWN,12.996374,77.613991
WILLIAMS TOWN,12.96557,77.60625
JAYA NAGAR EAST,11.931325,79.788733
IGGALUR,,
COOKE TOWN,13.0027852,77.624747
DODDAKALLASANDRA,12.8846623,77.55280022148207
CHOKKANAHALLI,13.084548,77.634717
CHIKKABALLAPUR,13.099912,77.390987
CHAMRAJPET,12.95991345,77.56264300058857
VGP LAYOUT,13.011885,77.544139
CLASSIC PARADISE LAYOUT,12.796543,77.705904
BYAPPANAHALLI,12.9898189,77.6540261
VASANTH NAGAR,8.845796,76.638511
RAYASANDRA,12.59145,77.43769
KALKERE,13.037348,77.692889
T.C. PALYA,13.023831,77.700534
SIDDAPURA,12.955599,77.731704
MAKALI,13.066817,77.454991
VIBUTHIPURA,12.964719,77.677864
5TH BLOCK HBR LAYOUT,13.0399958,77.6269966
PAI LAYOUT,12.922005,77.648683
DEFENCE LAYOUT,12.9657665,77.6177594
ROOPENA AGRAHARA,12.969086,77.554651
BANASHANKARI STAGE V,12.901464,77.5096707
COCONUT GARDEN,12.960809,77.519144
GOLLAHALLI,13.04347,77.563084
SONNENAHALLI,12.942001,77.483369
D SOUZA LAYOUT,12.91426,77.63742
ECC ROAD,12.946662,77.53009
SEETHARAMPALYA,12.9782353,77.7107818
RUKMAIAH LAYOUT,13.011885,77.544139
DEVANAHALLI INT. AIRPORT,13.202213,77.662527
PUTTANAHALLI,13.1100319,77.57766604491682
BENSON TOWN,12.997803,77.6041749
DEVASANDRA EXTENSION,12.96557,77.60625
2ND PHASE JUDICIAL LAYOUT,13.08387245,77.58850345001596
1ST BLOCK HRBR LAYOUT,13.019938,77.652259
SARJAPUR ROAD,12.860165,77.792172
BYADARAHALLI,12.983302,77.4809397
POORNA PRAGNA LAYOUT,12.9089902,77.53274961607151
JUDICIAL LAYOUT,13.0874059,77.5842414
CHIKKA BANASWADI,13.0064274,77.645581
OUTER RING ROAD EAST,12.9609866,77.5126247
KAVIKA LAYOUT,13.011885,77.544139
VINAYAKA NAGAR,12.9631421,77.5086468
BANASHANKARI STAGE II,12.96557,77.60625
HENNUR BUSSTOP,13.037318,77.643369
GB PALYA,13.17397,77.70647
AMS LAYOUT,13.011885,77.544139
9TH BLOCK JAYANAGAR,12.9282849,77.5868566
KARUNA NAGAR,12.92100795,77.58786832631836
ASHWATHNAGAR,13.0503146,77.6378098
GAURAVA NAGAR,12.887209,77.680655
KENGERI SATELLITE TOWN ( BDA SITE),25.493811,80.341981
AGS LAYOUT,12.9127651,77.5340498
SRINAGAR,12.944438,77.554664
BRIGADE ROAD,12.969036,77.606644
BANNERGHATTA,12.89558285,77.60262192276136
MARUTHI HBCS LAYOUT,,
DEVANAHALLI ROAD,13.202213,77.662527
GREEN WOODS LAYOUT,12.92832615,77.67039032874399
CRAIG PARK LAYOUT,12.9713834,77.6158386
IMMADIHALLI,12.9663991,77.762046
BANAGIRI NAGAR,12.887209,77.680655
HIREMATH LAYOUT,12.975457,77.536114
JNANABHARATHI LAYOUT,13.011885,77.544139
CHIKKASANDRA,13.07313035,77.50288373914475
BHARATH HOUSING SOCIETY LAYOUT,,
3RD BLOCK JAYANAGAR,12.9295069,77.5801439
MANJUNATHA LAYOUT,13.055174,77.600733
KONANAKUNTE CROSS,12.8889819,77.56272913896122
ABBAIAH REDDY LAYOUT,17.692909,82.957851
TAVAREKERE,12.921822,77.61023
THIRUMENAHALLI,13.088718,77.635316
KPC LAYOUT,13.011885,77.544139
HOSUR MAIN ROAD,12.5084178,75.057837
